주_용도_코드,주_용도_코드_명,Total_Count
01000,단독주택,4326700
04000,제2종근린생활시설,718151
03000,제1종근린생활시설,594056
02000,공동주택,578273
21000,동물및식물관련시설,439989
18000,창고시설,409787
17000,공장,404164
10000,교육연구시설,88934
11000,노유자시설,48184
15000,숙박시설,47324
06000,종교시설,40251
19000,위험물저장및처리시설,37497
14000,업무시설,37108
20000,자동차관련시설,36908
23000,교정및군사시설,20999
05000,문화및집회시설,15969
13000,운동시설,14124
30000,자원순환관련시설,13204
22000,분뇨.쓰레기처리시설,12842
07000,판매시설,12500
27000,관광휴게시설,9419
09000,의료시설,7592
31000,야영장시설,7232
16000,위락시설,5482
12000,수련시설,5174
33000,"국방,군사시설",4993
25000,발전시설,4602
08000,운수시설,3966
24000,방송통신시설,3343
26000,묘지관련시설,1783
29000,장례시설,518
