주_용도_코드,주_용도_코드_명,단독주택,주택,근린생활시설,제2종근린생활시설,공장,제1종근린생활시설,창고시설,창고,공동주택,식물관련시설
01000,단독주택,2013416,1905896,149834,59280,1812,37238,18215,123186,1552,1035
02000,공동주택,381,7592,17905,6709,197,4613,119,848,257505,2
03000,제1종근린생활시설,33428,78241,161711,14378,628,229181,3758,7722,519,37
04000,제2종근린생활시설,46781,44144,150633,410247,2671,11261,4150,7960,451,68
05000,문화및집회시설,153,101,457,266,13,250,38,141,5,9
06000,종교시설,622,1080,789,990,4,221,44,520,4,1
07000,판매시설,84,146,1163,509,18,177,112,153,78,0
09000,의료시설,53,114,568,224,1,477,17,129,4,0
10000,교육연구시설,483,513,2004,750,146,621,82,2014,61,5
11000,노유자시설,793,537,958,580,15,1111,52,445,24,0
13000,운동시설,98,55,441,343,9,259,36,207,5,1
14000,업무시설,658,439,7343,1356,214,1434,181,480,1689,1
15000,숙박시설,1324,1991,4827,1592,15,642,114,411,8,1
16000,위락시설,406,646,1287,527,9,189,52,77,0,1
17000,공장,698,2308,1999,1108,353329,410,996,17227,68,16
18000,창고시설,10184,11151,2032,2927,2366,1116,250220,97398,13,337
19000,위험물저장및처리시설,199,285,824,386,341,338,43,386,2,0
20000,자동차관련시설,277,175,1138,954,261,397,97,491,38,4
21000,동물및식물관련시설,3331,9767,220,215,124,70,1459,10254,3,185441
Z3000,근린생활시설,848,2152,6757,273,60,125,122,359,24,2
