기타_용도_분리,Total Count,기타_용도,주_용도_코드,주_용도_코드_명
주택,3857882,주택,01001,단독주택
아파트,2584109,아파트,02001,아파트
단독주택,2217159,단독주택,01001,단독주택
창고,1067948,창고,18001,창고
공동주택,1005215,공동주택(아파트),02001,아파트
다가구주택,982559,다가구주택,01003,다가구주택
다세대주택,850405,다세대주택,02003,다세대주택
제2종근린생활시설,803173,제2종근린생활시설(사무소),04402,사무소
소매점,611069,소매점,03001,소매점
계단실,592979,계단실,01003,다가구주택
사무소,569395,제2종근린생활시설(사무소),04402,사무소
공장,473228,공장,17100,일반공장
근린생활시설,472425,근린생활시설,03999,기타제1종근린생활시설
일반음식점,467760,일반음식점,04001,일반음식점
제1종근린생활시설,428788,제1종근린생활시설(소매점),03001,소매점
축사,357873,축사,21101,축사
사무실,344953,사무실,04402,사무소
1가구,341216,다가구주택(1가구),01003,다가구주택
2세대,338449,다세대주택(2세대),02003,다세대주택
주차장,304072,주차장,20001,주차장
2가구,277684,다가구주택(2가구),01003,다가구주택
화장실,234731,화장실,01001,단독주택
연면적제외,234214,계단실(연면적제외),02003,다세대주택
점포,233634,점포,03001,소매점
변소,185847,변소,01001,단독주택
업무시설,176578,업무시설(오피스텔),14202,오피스텔
도시형생활주택,169266,도시형생활주택(단지형다세대-2세대),02003,다세대주택
오피스텔,161115,업무시설(오피스텔),14202,오피스텔
제조업소,157698,제2종근린생활시설(제조업소),04005,제조업소
기계실,127458,기계실,02005,부대시설
