주_용도_코드,주_용도_코드_명,기타_용도
01001,단독주택,"주택,소매점"
01001,단독주택,주택
01001,단독주택,┛
01001,단독주택,차고
01001,단독주택,창고
01003,다가구주택,다가구용주택(2가구)
01003,다가구주택,보일러실
01003,다가구주택,"단독주택(다가구주택,5가구)"
01003,다가구주택,계단실
01003,다가구주택,단독주택(다가구주택2가구)
02003,다세대주택,도시형생활주택(단지형다세대)-2세대
02003,다세대주택,단지형다세대주택(1세대)
02003,다세대주택,단지형다세대주택(계단실)
02003,다세대주택,공동주택(계단실)
02003,다세대주택,다세대(1세대)
03999,기타제1종근린생활시설,창고
03999,기타제1종근린생활시설,(연면적 제외)
03999,기타제1종근린생활시설,물치
03999,기타제1종근린생활시설,"점포,목욕장"
03999,기타제1종근린생활시설,연면적제외
04999,기타제2종근린생활시설,숙직실
04999,기타제2종근린생활시설,화장실
04999,기타제2종근린생활시설,기타제2종근린생활시설
04999,기타제2종근린생활시설,제2종근린생활시설(영업용)
04999,기타제2종근린생활시설,체력단련장
14299,기타일반업무시설,주차장
14299,기타일반업무시설,램프
14299,기타일반업무시설,복도
14299,기타일반업무시설,(연면적제외)
14299,기타일반업무시설,"기계실,물탱크실"
